Store,id,res_id,City,StreetNa_1,ADDRESS,House_Num1,House_Num2,House_Num3,House_Num4,House_Num5,House_Num6,Build_type,adres_full,Cell,Y,X,car,pedestrian,Status,Type,Year_buld,floors,flats,Matwalls,people,Key_Accou,Bus
KFC Belorusskaya Moscow,5003001995,0,Москва,Лесная,57 стр 5,57, , ,стр,5,стр 5,Нежил,"Москва, Лесная, 57 стр 5",C1,"37,592239","55,782272",5,15,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003001996,0,Москва,Новослободская,51,51, , , , , ,Нежил,"Москва, Новослободская, 51",C1,"37,592525","55,786413",10,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003001997,0,Москва,Лесная,59 стр 3,59, , ,стр,3,стр 3,Нежил,"Москва, Лесная, 59 стр 3",C1,"37,592653","55,782426",5,15,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003001998,0,Москва,Лесная,59 стр 2,59, , ,стр,2,стр 2,Нежил,"Москва, Лесная, 59 стр 2",C1,"37,592792","55,782115",5,15,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003001999,0,Москва,Горлов тупик,4,4, , , , , ,Нежил,"Москва, Горлов тупик, 4",C1,"37,592787","55,785901",10,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003002000,0,Москва,Новослободская,47,47, , , , , ,Нежил,"Москва, Новослободская, 47",C1,"37,593547","55,78558",10,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003002001,0,Москва,Новослободская,45 стр 6,45, , ,стр,6,стр 6,Нежил,"Москва, Новослободская, 45 стр 6",C1,"37,593445","55,78504",10,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003002002,0,Москва,Горлов тупик,27 стр 3,27, , ,стр,3,стр 3,Нежил,"Москва, Горлов тупик, 27 стр 3",C1,"37,592757","55,783977",10,15,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003002003,0,Москва,Новослободская,45 стр 13,45, , ,стр,13,стр 13,Нежил,"Москва, Новослободская, 45 стр 13",C1,"37,59295","55,784293",10,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003002004,0,Москва,Новослободская,55,55, , , , , ,Нежил,"Москва, Новослободская, 55",C1,"37,592956","55,78699",10,0,active, ,0,0,0, ,0, ,0
